product_id,product_name,category_id,price,stock_quantity
1,Reactive motivating projection,1,445.26,24
2,Quality-focused 24/7 website,1,368.59,79
3,Re-engineered zero administration encoding,4,303.84,32
4,Innovative exuding archive,4,17.8,86
5,Customer-focused mobile utilization,1,118.32,96
6,Monitored uniform parallelism,3,338.78,92
7,Open-source bandwidth-monitored info-mediaries,4,430.96,98
8,Enterprise-wide well-modulated algorithm,3,295.63,84
9,Extended reciprocal project,8,15.27,87
10,Decentralized multi-state data-warehouse,2,383.56,17
11,Enhanced demand-driven framework,4,411.6,80
12,Balanced content-based extranet,8,290.24,12
13,Compatible tangible orchestration,5,382.74,80
14,Down-sized intangible hardware,6,91.72,82
15,Realigned responsive analyzer,3,261.89,5
16,Visionary web-enabled info-mediaries,2,223.9,39
17,Monitored client-server capacity,3,142.69,100
18,Polarized dynamic intranet,5,498.49,56
19,Quality-focused user-facing access,2,220.76,4
20,Multi-lateral incremental function,1,408.05,74
21,Compatible coherent throughput,5,484.68,46
22,Reverse-engineered tangible parallelism,7,237.66,93
23,Triple-buffered tertiary utilization,7,207.13,16
24,De-engineered real-time encoding,4,163.92,11
25,Function-based 4thgeneration open architecture,2,56.78,37
26,Profound tangible concept,4,84.61,41
27,Organic secondary middleware,2,208.76,95
28,Vision-oriented impactful archive,5,250.26,53
29,Multi-tiered high-level concept,2,332.98,22
30,Focused national Graphical User Interface,1,203.22,25
31,Up-sized clear-thinking collaboration,6,381.45,16
32,Digitized attitude-oriented adapter,7,23.17,100
33,Intuitive fresh-thinking algorithm,6,48.59,69
34,Implemented zero tolerance matrices,2,129.94,46
35,Proactive bottom-line function,6,62.38,67
36,Integrated needs-based task-force,1,387.41,64
37,Exclusive transitional ability,7,433.13,34
38,User-centric multi-tasking secured line,8,413.34,21
39,Switchable background access,2,5.57,32
40,Customizable well-modulated encryption,7,435.34,61
41,Function-based bottom-line infrastructure,6,233.68,37
42,Public-key secondary array,8,31.83,95
43,Managed multimedia secured line,3,261.63,43
44,Robust asymmetric approach,7,313.2,14
45,Cross-platform tangible initiative,3,251.75,59
46,De-engineered composite circuit,5,223.81,9
47,Assimilated exuding middleware,8,30.55,18
48,Future-proofed impactful collaboration,8,137.19,96
49,Inverse exuding capability,7,69.85,28
50,Focused asymmetric Local Area Network,5,147.57,86
51,Exclusive zero tolerance throughput,6,441.02,92
52,Organized didactic solution,4,244.93,86
53,User-friendly maximized leverage,2,19.29,50
54,Face-to-face intangible extranet,5,316.86,71
55,Optional 4thgeneration project,8,400.66,46
56,Ergonomic next generation synergy,4,356.34,11
57,Networked 3rdgeneration budgetary management,8,158.82,50
58,Cross-group modular capacity,7,11.77,1
59,Re-contextualized transitional encoding,6,206.96,33
60,Profit-focused value-added neural-net,1,116.23,68
61,Reactive clear-thinking adapter,8,421.5,15
62,Robust object-oriented open architecture,6,61.16,58
63,Visionary multi-tasking customer loyalty,3,473.8,47
64,Monitored methodical help-desk,8,325.62,86
65,Operative leadingedge orchestration,4,81.22,95
66,Multi-tiered high-level framework,6,466.66,86
67,Quality-focused user-facing focus group,5,149.47,33
68,Inverse intermediate encryption,6,354.18,74
69,Robust fresh-thinking focus group,5,210.67,48
70,Mandatory logistical function,5,243.84,81
71,Persistent dedicated algorithm,1,238.75,47
72,Reverse-engineered next generation firmware,4,231.11,13
73,User-friendly static focus group,2,76.6,86
74,Balanced reciprocal data-warehouse,4,99.35,29
75,Mandatory upward-trending parallelism,7,301.69,60
76,Persevering eco-centric artificial intelligence,8,374.41,3
77,Fully-configurable motivating hub,4,72.57,79
78,Universal 5thgeneration knowledge user,8,39.56,71
79,Persevering systemic solution,8,387.47,41
80,Monitored bandwidth-monitored matrices,8,427.93,78
81,Digitized analyzing approach,1,173.24,28
82,Extended contextually-based system engine,2,394.92,82
83,Enterprise-wide asymmetric product,5,137.25,8
84,Phased radical functionalities,4,6.27,81
85,Front-line local data-warehouse,7,364.4,59
86,Organic non-volatile protocol,4,419.55,89
87,Switchable executive attitude,5,292.06,38
88,User-centric client-server support,6,331.67,83
89,Progressive secondary time-frame,8,433.3,52
90,Ameliorated needs-based project,6,226.04,14
91,Horizontal 6thgeneration workforce,7,244.75,17
92,User-friendly directional functionalities,6,169.56,5
93,Business-focused full-range analyzer,6,382.62,4
94,Business-focused web-enabled Graphic Interface,8,191.72,38
95,Innovative composite interface,5,466.76,63
96,Assimilated high-level strategy,5,435.45,14
97,Persevering coherent contingency,5,490.48,12
98,Virtual analyzing infrastructure,4,123.21,30
99,Reduced real-time alliance,2,194.57,68
100,Sharable tertiary collaboration,4,428.73,17
101,Innovative clear-thinking attitude,6,208.33,49
102,Enterprise-wide real-time website,2,162.5,58
103,Decentralized eco-centric project,3,239.12,47
104,Team-oriented 4thgeneration project,4,457.15,85
105,Profound value-added middleware,4,193.71,95
106,Monitored impactful open system,8,494.26,89
107,Innovative optimizing contingency,5,397.23,69
108,Robust disintermediate core,5,327.75,53
109,Cross-group next generation capacity,2,80.29,75
110,Triple-buffered intangible portal,4,482.59,95
111,Polarized next generation approach,5,67.49,93
112,Compatible 5thgeneration hierarchy,4,482.85,19
113,Polarized didactic workforce,6,169.34,53
114,Ergonomic background adapter,3,54.68,83
